,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
simsiam-init,eurosat,resnet18,variant,67.36,78.21,83.61,90.18,91.98,93.46,95.86,96.86,97.43,98.18,98.84,-0.11,0.23,-0.29,-0.62,-0.27,-0.21,-0.17,-0.12,-0.02,0.02,0.10,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_esat_1pct diaggrid_simsiam_esat_2pct diaggrid_simsiam_esat_3pct diaggrid_simsiam_esat_5pct diaggrid_simsiam_esat_7pct diaggrid_simsiam_esat_10pct diaggrid_simsiam_esat_15pct diaggrid_simsiam_esat_20pct diaggrid_simsiam_esat_25pct diaggrid_simsiam_esat_50pct diaggrid_simsiam_esat_100pct
BASELINE,eurosat,resnet34,baseline,,,,91.11,,94.27,,,97.36,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_esat_none_5pct diagdepth_r34_esat_none_10pct diagdepth_r34_esat_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosat,resnet34,variant,,,,91.98,,94.84,,,97.29,,,,,,0.87,,0.57,,,-0.07,,,,,,3,,3,,,3,,,diagdepth_r34_esat_aux_5pct diagdepth_r34_esat_aux_10pct diagdepth_r34_esat_aux_25pct
BASELINE,eurosat,resnet50,baseline,,,,89.32,,93.62,,,97.20,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_esat_none_5pct diagdepth_r50_esat_none_10pct diagdepth_r50_esat_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosat,resnet50,variant,,,,90.88,,94.44,,,97.40,,,,,,1.56,,0.81,,,0.20,,,,,,3,,3,,,3,,,diagdepth_r50_esat_aux_5pct diagdepth_r50_esat_aux_10pct diagdepth_r50_esat_aux_25pct
BASELINE  [adamw],eurosat,swin_tiny,baseline,25.85,42.34,25.40,34.33,44.59,33.02,18.59,22.74,31.83,43.77,31.78,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_esat_none_1pct diaggrid_swin_esat_none_2pct diaggrid_swin_esat_none_3pct diaggrid_swin_esat_none_5pct diaggrid_swin_esat_none_7pct diaggrid_swin_esat_none_10pct diaggrid_swin_esat_none_15pct diaggrid_swin_esat_none_20pct diaggrid_swin_esat_none_25pct diaggrid_swin_esat_none_50pct diaggrid_swin_esat_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",eurosat,swin_tiny,variant,54.41,72.88,80.04,84.87,87.38,89.78,92.31,94.01,95.09,97.10,98.17,28.57,30.54,54.64,50.54,42.78,56.75,73.72,71.27,63.26,53.34,66.38,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_esat_aux_1pct diaggrid_swin_esat_aux_2pct diaggrid_swin_esat_aux_3pct diaggrid_swin_esat_aux_5pct diaggrid_swin_esat_aux_7pct diaggrid_swin_esat_aux_10pct diaggrid_swin_esat_aux_15pct diaggrid_swin_esat_aux_20pct diaggrid_swin_esat_aux_25pct diaggrid_swin_esat_aux_50pct diaggrid_swin_esat_aux_100pct
BASELINE  [adamw],eurosat,vit_tiny,baseline,60.58,71.30,75.64,81.96,83.96,85.29,88.32,90.27,91.14,94.39,96.20,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_esat_none_1pct diaggrid_vit_esat_none_2pct diaggrid_vit_esat_none_3pct diaggrid_vit_eurosat_none_5pct diaggrid_vit_esat_none_7pct diaggrid_vit_esat_none_10pct diaggrid_vit_esat_none_15pct diaggrid_vit_esat_none_20pct diaggrid_vit_eurosat_none_25pct diaggrid_vit_esat_none_50pct diaggrid_vit_esat_none_100pct
deit-aug  [adamw],eurosat,vit_tiny,baseline,36.52,58.09,64.85,69.48,72.25,76.33,79.60,84.47,85.27,92.55,95.91,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_esat_none_1pct diaggrid_deit_esat_none_2pct diaggrid_deit_esat_none_3pct diaggrid_deit_esat_none_5pct diaggrid_deit_esat_none_7pct diaggrid_deit_esat_none_10pct diaggrid_deit_esat_none_15pct diaggrid_deit_esat_none_20pct diaggrid_deit_esat_none_25pct diaggrid_deit_esat_none_50pct diaggrid_deit_esat_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",eurosat,vit_tiny,variant,64.44,75.91,80.22,85.12,87.30,89.60,91.80,93.65,94.52,96.58,97.57,3.86,4.61,4.58,3.16,3.34,4.31,3.48,3.38,3.39,2.19,1.36,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_esat_aux_1pct diaggrid_vit_esat_aux_2pct diaggrid_vit_esat_aux_3pct diaggrid_vit_eurosat_aux_5pct diaggrid_vit_esat_aux_7pct diaggrid_vit_esat_aux_10pct diaggrid_vit_esat_aux_15pct diaggrid_vit_esat_aux_20pct diaggrid_vit_eurosat_aux_25pct diaggrid_vit_esat_aux_50pct diaggrid_vit_esat_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",eurosat,vit_tiny,variant,54.02,70.53,73.42,78.38,81.30,86.73,88.31,92.49,92.47,96.14,97.77,17.51,12.44,8.57,8.90,9.05,10.40,8.71,8.02,7.20,3.59,1.86,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_esat_aux_1pct diaggrid_deit_esat_aux_2pct diaggrid_deit_esat_aux_3pct diaggrid_deit_esat_aux_5pct diaggrid_deit_esat_aux_7pct diaggrid_deit_esat_aux_10pct diaggrid_deit_esat_aux_15pct diaggrid_deit_esat_aux_20pct diaggrid_deit_esat_aux_25pct diaggrid_deit_esat_aux_50pct diaggrid_deit_esat_aux_100pct
dino-init  [adamw],eurosat,vit_tiny,variant,61.51,70.73,74.91,80.22,83.02,85.62,88.75,90.91,92.29,95.20,97.03,0.93,-0.56,-0.73,-1.74,-0.94,0.33,0.43,0.64,1.15,0.81,0.83,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_esat_1pct diaggrid_dino_esat_2pct diaggrid_dino_esat_3pct diaggrid_dino_esat_5pct diaggrid_dino_esat_7pct diaggrid_dino_esat_10pct diaggrid_dino_esat_15pct diaggrid_dino_esat_20pct diaggrid_dino_esat_25pct diaggrid_dino_esat_50pct diaggrid_dino_esat_100pct
BASELINE,eurosatms_all,resnet18,baseline,73.91,83.44,,91.48,,96.07,,,98.33,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_eurosatms_all_none_1pct sf_eurosatms_all_none_2pct sf_eurosatms_all_none_5pct sf_eurosatms_all_none_10pct sf_eurosatms_all_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosatms_all,resnet18,variant,77.28,86.55,,94.78,,97.57,,,98.65,,,3.37,3.10,,3.30,,1.50,,,0.33,,,3,3,,3,,3,,,3,,,sf_eurosatms_all_aux_1pct sf_eurosatms_all_aux_2pct sf_eurosatms_all_aux_5pct sf_eurosatms_all_aux_10pct sf_eurosatms_all_aux_25pct
BASELINE  [adamw],eurosatms_all,vit_tiny,baseline,,,,88.32,,91.52,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_all_none_5pct diagsfvit_eurosatms_all_none_10pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",eurosatms_all,vit_tiny,variant,,,,90.16,,93.27,,,,,,,,,1.84,,1.75,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_all_aux_5pct diagsfvit_eurosatms_all_aux_10pct
BASELINE,eurosatms_nir,resnet18,baseline,72.51,80.48,,90.14,,94.26,,,97.77,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_eurosatms_nir_none_1pct sf_eurosatms_nir_none_2pct sf_eurosatms_nir_none_5pct sf_eurosatms_nir_none_10pct sf_eurosatms_nir_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosatms_nir,resnet18,variant,75.36,85.09,,92.73,,96.57,,,98.19,,,2.85,4.60,,2.60,,2.31,,,0.43,,,3,3,,3,,3,,,3,,,sf_eurosatms_nir_aux_1pct sf_eurosatms_nir_aux_2pct sf_eurosatms_nir_aux_5pct sf_eurosatms_nir_aux_10pct sf_eurosatms_nir_aux_25pct
BASELINE  [adamw],eurosatms_nir,vit_tiny,baseline,,,,86.83,,90.19,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_nir_none_5pct diagsfvit_eurosatms_nir_none_10pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",eurosatms_nir,vit_tiny,variant,,,,89.32,,92.88,,,,,,,,,2.49,,2.69,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_nir_aux_5pct diagsfvit_eurosatms_nir_aux_10pct
BASELINE,eurosatms_rgb,resnet18,baseline,65.83,79.41,,89.56,,94.92,,,97.88,,,,,,,,,,,,,,3,3,,3,,3,,,3,,,sf_eurosatms_rgb_none_1pct sf_eurosatms_rgb_none_2pct sf_eurosatms_rgb_none_5pct sf_eurosatms_rgb_none_10pct sf_eurosatms_rgb_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",eurosatms_rgb,resnet18,variant,69.59,81.44,,91.19,,95.56,,,97.85,,,3.76,2.03,,1.63,,0.64,,,-0.02,,,3,3,,3,,3,,,3,,,sf_eurosatms_rgb_aux_1pct sf_eurosatms_rgb_aux_2pct sf_eurosatms_rgb_aux_5pct sf_eurosatms_rgb_aux_10pct sf_eurosatms_rgb_aux_25pct
BASELINE  [adamw],eurosatms_rgb,vit_tiny,baseline,,,,78.65,,84.80,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_rgb_none_5pct diagsfvit_eurosatms_rgb_none_10pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",eurosatms_rgb,vit_tiny,variant,,,,84.41,,89.94,,,,,,,,,5.76,,5.14,,,,,,,,,3,,3,,,,,,diagsfvit_eurosatms_rgb_aux_5pct diagsfvit_eurosatms_rgb_aux_10pct
BASELINE,food101,mobilenetv3_small_100,baseline,3.92,5.65,7.65,13.90,19.98,27.38,35.32,39.63,43.91,55.13,63.45,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_food_none_1pct grid_mnet_food_none_2pct grid_mnet_food_none_3pct grid_mnet_food_none_5pct grid_mnet_food_none_7pct grid_mnet_food_none_10pct grid_mnet_food_none_15pct grid_mnet_food_none_20pct grid_mnet_food_none_25pct grid_mnet_food_none_50pct grid_mnet_food_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",food101,mobilenetv3_small_100,variant,4.28,6.16,8.65,15.30,21.54,28.35,35.45,39.71,43.14,54.90,63.76,0.36,0.51,1.00,1.40,1.57,0.97,0.13,0.08,-0.77,-0.23,0.32,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_food_aux_1pct grid_mnet_food_aux_2pct grid_mnet_food_aux_3pct grid_mnet_food_aux_5pct grid_mnet_food_aux_7pct grid_mnet_food_aux_10pct grid_mnet_food_aux_15pct grid_mnet_food_aux_20pct grid_mnet_food_aux_25pct grid_mnet_food_aux_50pct grid_mnet_food_aux_100pct
BASELINE,food101,resnet18,baseline,9.07,13.78,20.30,29.91,40.07,50.27,57.75,62.02,64.43,72.20,78.05,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_food_none_1pct diagtransfer2_food_none_2pct diagtransfer2_food_none_3pct diagtransfer2_food_none_5pct diagtransfer2_food_none_7pct diagtransfer2_food_none_10pct diagtransfer2_food_none_15pct diagtransfer2_food_none_20pct diagtransfer2_food_none_25pct diagtransfer2_food_none_50pct diagtransfer2_food_none_100pct
BASELINE,food101,resnet18,baseline,5.29,8.25,12.03,21.91,29.16,41.73,52.88,58.79,62.88,71.75,78.20,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_food_r18_9ee7da_1pct grid_food_r18_9ee7da_2pct grid_food_r18_9ee7da_3pct grid_food_r18_9ee7da_5pct grid_food_r18_9ee7da_7pct grid_food_r18_9ee7da_10pct grid_food_r18_9ee7da_15pct grid_food_r18_9ee7da_20pct grid_food_r18_9ee7da_25pct grid_food_r18_9ee7da_50pct grid_food_r18_9ee7da_100pct
deit-aug,food101,resnet18,baseline,,,,31.37,,50.99,,,65.93,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagfuse_food_aug_5pct diagfuse_food_aug_10pct diagfuse_food_aug_25pct
"aux(magnitude3@L3,L1.0>0.0,hn)",food101,resnet18,variant,6.67,11.53,16.49,27.65,35.86,44.72,53.24,58.53,62.00,70.45,77.55,1.39,3.28,4.46,5.74,6.70,2.99,0.36,-0.26,-0.88,-1.30,-0.65,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_food_1pct grid_mag3_food_2pct grid_mag3_food_3pct grid_mag3_food101_5pct grid_mag3_food_7pct grid_mag3_food_10pct grid_mag3_food_15pct grid_mag3_food_20pct grid_mag3_food101_25pct grid_mag3_food_50pct grid_mag3_food_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",food101,resnet18,variant,6.61,11.31,16.28,27.74,36.00,45.47,53.62,58.92,62.17,70.83,77.90,1.33,3.06,4.25,5.83,6.84,3.74,0.73,0.13,-0.71,-0.91,-0.30,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_food_1pct grid_mag6o_food_2pct grid_mag6o_food_3pct grid_mag6o_food101_5pct grid_mag6o_food_7pct grid_mag6o_food_10pct grid_mag6o_food_15pct grid_mag6o_food_20pct grid_mag6o_food101_25pct grid_mag6o_food_50pct grid_mag6o_food_100pct
"aux(magnitude@L3,L0.3)",food101,resnet18,variant,,,,26.17,,44.86,,,,,,,,,4.25,,3.13,,,,,,,,,3,,3,,,,,,diagtgt_food_mag_5pct diagtgt_food_mag_10pct
"aux(magnitude@L3,L1.0>0.0,hn)",food101,resnet18,variant,4.25,7.99,10.30,19.37,26.26,38.28,48.30,55.18,61.36,69.77,77.25,-4.82,-5.79,-10.00,-10.54,-13.81,-11.99,-9.45,-6.84,-3.08,-2.44,-0.80,3,3,3,3,3,3,3,3,3,3,3,diagtransfer2_food_aux_1pct diagtransfer2_food_aux_2pct diagtransfer2_food_aux_3pct diagtransfer2_food_aux_5pct diagtransfer2_food_aux_7pct diagtransfer2_food_aux_10pct diagtransfer2_food_aux_15pct diagtransfer2_food_aux_20pct diagtransfer2_food_aux_25pct diagtransfer2_food_aux_50pct diagtransfer2_food_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",food101,resnet18,variant,6.71,11.23,16.15,27.54,35.88,44.91,53.35,58.58,62.19,70.64,77.73,1.43,2.98,4.11,5.63,6.71,3.18,0.46,-0.20,-0.69,-1.11,-0.47,3,3,3,3,3,3,3,3,3,3,3,grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_1pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_2pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_3pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_5pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_7pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_10pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_15pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_20pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_25pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_50pct grid_food_r18_axmagnitudeL3_l10to00_hn_8bd74b_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + deit-aug",food101,resnet18,variant,,,,35.69,,49.17,,,63.50,,,,,,4.32,,-1.81,,,-2.43,,,,,,3,,3,,,3,,,diagfuse_food_prioraug_5pct diagfuse_food_prioraug_10pct diagfuse_food_prioraug_25pct
"aux(magnitude@L3,L1.0>0.0,hn) + simclr-init",food101,resnet18,variant,,,,29.97,,44.76,,,61.01,,,,,,8.06,,3.03,,,-1.87,,,,,,3,,3,,,3,,,diagfuse_food_priorssl_5pct diagfuse_food_priorssl_10pct diagfuse_food_priorssl_25pct
"aux(random-fixed@L3,L0.3)",food101,resnet18,variant,,,,21.98,,42.11,,,,,,,,,0.06,,0.38,,,,,,,,,3,,3,,,,,,diagtgt_food_rand_5pct diagtgt_food_rand_10pct
simclr-init,food101,resnet18,variant,8.01,13.84,19.76,31.47,38.74,47.18,54.22,58.35,62.35,70.81,77.78,2.73,5.59,7.72,9.56,9.57,5.45,1.33,-0.43,-0.53,-0.94,-0.42,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simclr_food_1pct diaggrid_simclr_food_2pct diaggrid_simclr_food_3pct diaggrid_simclr_food_5pct diaggrid_simclr_food_7pct diaggrid_simclr_food_10pct diaggrid_simclr_food_15pct diaggrid_simclr_food_20pct diaggrid_simclr_food_25pct diaggrid_simclr_food_50pct diaggrid_simclr_food_100pct
simclr-init,food101,resnet18,variant,,,,31.47,,47.18,,,62.35,,77.78,,,,9.56,,5.45,,,-0.53,,-0.42,,,,3,,3,,,3,,3,diaggrid_ssl_food101_5pct diaggrid_ssl_food101_10pct diaggrid_ssl_food101_25pct diaggrid_ssl_food101_100pct
simclr-init + deit-aug,food101,resnet18,variant,,,,35.96,,47.57,,,,,,,,,4.59,,-3.42,,,,,,,,,3,,3,,,,,,diagprosp_augssl_food_5pct diagprosp_augssl_food_10pct
simsiam-init,food101,resnet18,variant,5.35,8.54,12.54,22.55,29.67,41.91,53.18,59.41,62.65,70.92,77.49,0.07,0.29,0.50,0.64,0.51,0.18,0.30,0.63,-0.23,-0.82,-0.71,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_food_1pct diaggrid_simsiam_food_2pct diaggrid_simsiam_food_3pct diaggrid_simsiam_food_5pct diaggrid_simsiam_food_7pct diaggrid_simsiam_food_10pct diaggrid_simsiam_food_15pct diaggrid_simsiam_food_20pct diaggrid_simsiam_food_25pct diaggrid_simsiam_food_50pct diaggrid_simsiam_food_100pct
BASELINE,food101,resnet34,baseline,,,,21.83,,42.94,,,64.54,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r34_food_none_5pct diagdepth_r34_food_none_10pct diagdepth_r34_food_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",food101,resnet34,variant,,,,27.08,,44.13,,,62.97,,,,,,5.24,,1.19,,,-1.57,,,,,,3,,3,,,3,,,diagdepth_r34_food_aux_5pct diagdepth_r34_food_aux_10pct diagdepth_r34_food_aux_25pct
BASELINE,food101,resnet50,baseline,,,,19.95,,42.41,,,67.10,,,,,,,,,,,,,,,,,3,,3,,,3,,,diagdepth_r50_food_none_5pct diagdepth_r50_food_none_10pct diagdepth_r50_food_none_25pct
"aux(magnitude@L3,L1.0>0.0,hn)",food101,resnet50,variant,,,,28.94,,48.28,,,66.97,,,,,,8.99,,5.87,,,-0.13,,,,,,3,,3,,,3,,,diagdepth_r50_food_aux_5pct diagdepth_r50_food_aux_10pct diagdepth_r50_food_aux_25pct
BASELINE  [adamw],food101,swin_tiny,baseline,1.56,0.98,1.30,1.26,1.07,1.20,1.78,1.14,1.00,0.99,0.99,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_food_none_1pct diaggrid_swin_food_none_2pct diaggrid_swin_food_none_3pct diaggrid_swin_food_none_5pct diaggrid_swin_food_none_7pct diaggrid_swin_food_none_10pct diaggrid_swin_food_none_15pct diaggrid_swin_food_none_20pct diaggrid_swin_food_none_25pct diaggrid_swin_food_none_50pct diaggrid_swin_food_none_100pct
"aux(magnitude@Ls.2,L1.0>0.0,hn)  [adamw]",food101,swin_tiny,variant,3.21,4.85,5.28,9.96,9.71,16.99,22.57,28.69,23.40,46.17,57.07,1.65,3.87,3.98,8.69,8.63,15.79,20.80,27.55,22.41,45.18,56.08,3,3,3,3,3,3,3,3,3,3,3,diaggrid_swin_food_aux_1pct diaggrid_swin_food_aux_2pct diaggrid_swin_food_aux_3pct diaggrid_swin_food_aux_5pct diaggrid_swin_food_aux_7pct diaggrid_swin_food_aux_10pct diaggrid_swin_food_aux_15pct diaggrid_swin_food_aux_20pct diaggrid_swin_food_aux_25pct diaggrid_swin_food_aux_50pct diaggrid_swin_food_aux_100pct
BASELINE  [adamw],food101,vit_tiny,baseline,3.21,4.29,5.21,6.17,7.02,8.97,12.01,14.51,16.77,25.59,36.38,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_food_none_1pct diaggrid_vit_food_none_2pct diaggrid_vit_food_none_3pct diaggrid_vit_food101_none_5pct diaggrid_vit_food_none_7pct diaggrid_vit_food_none_10pct diaggrid_vit_food_none_15pct diaggrid_vit_food_none_20pct diaggrid_vit_food101_none_25pct diaggrid_vit_food_none_50pct diaggrid_vit_food_none_100pct
deit-aug  [adamw],food101,vit_tiny,baseline,4.31,2.89,5.30,7.22,8.48,9.62,11.69,19.02,21.54,36.33,49.65,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_food_none_1pct diaggrid_deit_food_none_2pct diaggrid_deit_food_none_3pct diaggrid_deit_food_none_5pct diaggrid_deit_food_none_7pct diaggrid_deit_food_none_10pct diaggrid_deit_food_none_15pct diaggrid_deit_food_none_20pct diaggrid_deit_food_none_25pct diaggrid_deit_food_none_50pct diaggrid_deit_food_none_100pct
"aux(magnitude@b8,L1.0>0.0,hn)  [adamw]",food101,vit_tiny,variant,4.27,6.43,8.37,11.22,13.19,17.16,20.71,23.63,26.58,36.08,46.01,1.06,2.14,3.16,5.05,6.17,8.20,8.69,9.12,9.81,10.49,9.63,3,3,3,3,3,3,3,3,3,3,3,diaggrid_vit_food_aux_1pct diaggrid_vit_food_aux_2pct diaggrid_vit_food_aux_3pct diaggrid_vit_food101_aux_5pct diaggrid_vit_food_aux_7pct diaggrid_vit_food_aux_10pct diaggrid_vit_food_aux_15pct diaggrid_vit_food_aux_20pct diaggrid_vit_food101_aux_25pct diaggrid_vit_food_aux_50pct diaggrid_vit_food_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",food101,vit_tiny,variant,6.78,9.44,14.57,19.12,24.79,29.76,36.10,39.52,44.82,56.46,67.60,2.47,6.55,9.27,11.90,16.31,20.14,24.42,20.51,23.28,20.13,17.95,3,3,3,3,3,3,3,3,3,3,3,diaggrid_deit_food_aux_1pct diaggrid_deit_food_aux_2pct diaggrid_deit_food_aux_3pct diaggrid_deit_food_aux_5pct diaggrid_deit_food_aux_7pct diaggrid_deit_food_aux_10pct diaggrid_deit_food_aux_15pct diaggrid_deit_food_aux_20pct diaggrid_deit_food_aux_25pct diaggrid_deit_food_aux_50pct diaggrid_deit_food_aux_100pct
"aux(magnitude@b8,L1.0>0.0,hn) + dino-init  [adamw]",food101,vit_tiny,variant,,,,,,,,,,41.78,,,,,,,,,,,16.19,,,,,,,,,,,3,,diagprosp_dinoaux_food_50pct
dino-init  [adamw],food101,vit_tiny,variant,3.28,4.59,5.57,8.00,10.22,14.95,19.86,24.31,28.28,40.37,51.70,0.07,0.30,0.36,1.83,3.20,5.98,7.84,9.80,11.51,14.78,15.31,3,3,3,3,3,3,3,3,3,3,3,diaggrid_dino_food_1pct diaggrid_dino_food_2pct diaggrid_dino_food_3pct diaggrid_dino_food_5pct diaggrid_dino_food_7pct diaggrid_dino_food_10pct diaggrid_dino_food_15pct diaggrid_dino_food_20pct diaggrid_dino_food_25pct diaggrid_dino_food_50pct diaggrid_dino_food_100pct
BASELINE  [100ep],imagenet100,resnet50,baseline,11.47,18.19,,36.51,,55.66,,,72.45,,85.85,,,,,,,,,,,,3,3,,3,,3,,,3,,3,diagin100_r50_none_1pct diagin100_r50_none_2pct diagin100_r50_none_5pct diagin100_r50_none_10pct diagin100_r50_none_25pct diagin100_r50_none
"aux(magnitude@L3,L1.0>0.0,hn)  [100ep]",imagenet100,resnet50,variant,12.01,19.40,,38.35,,57.40,,,74.75,,85.83,0.54,1.21,,1.84,,1.74,,,2.30,,-0.02,3,3,,3,,3,,,3,,3,diagin100_r50_aux_1pct diagin100_r50_aux_2pct diagin100_r50_aux_5pct diagin100_r50_aux_10pct diagin100_r50_aux_25pct diagin100_r50_aux
"deit-aug  [adamw,100ep]",imagenet100,vit_base,baseline,5.25,4.07,,6.10,,6.56,,,7.05,,43.33,,,,,,,,,,,,3,3,,3,,3,,,3,,3,diagin100_vitb_none_1pct diagin100_vitb_none_2pct diagin100_vitb_none_5pct diagin100_vitb_none_10pct diagin100_vitb_none_25pct diagin100_vitb_none
deit-aug  [adamw],imagenet100,vit_base,baseline,,,,,,,,,,,75.31,,,,,,,,,,,,,,,,,,,,,,6,diagin100e200_vitb_none
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw,100ep]",imagenet100,vit_base,variant,5.94,9.17,,10.57,,8.86,,,14.41,,69.34,0.69,5.11,,4.47,,2.30,,,7.36,,26.01,3,3,,3,,3,,,3,,3,diagin100_vitb_aux_1pct diagin100_vitb_aux_2pct diagin100_vitb_aux_5pct diagin100_vitb_aux_10pct diagin100_vitb_aux_25pct diagin100_vitb_aux
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",imagenet100,vit_base,variant,,,,,,,,,,,82.02,,,,,,,,,,,6.71,,,,,,,,,,,6,diagin100e200_vitb_aux
"deit-aug  [adamw,100ep]",imagenet100,vit_small,baseline,7.27,6.42,,7.29,,11.89,,,23.16,,65.39,,,,,,,,,,,,3,3,,3,,3,,,3,,3,diagin100_vits_none_1pct diagin100_vits_none_2pct diagin100_vits_none_5pct diagin100_vits_none_10pct diagin100_vits_none_25pct diagin100_vits_none
deit-aug  [adamw],imagenet100,vit_small,baseline,,,,,,,,,,,79.47,,,,,,,,,,,,,,,,,,,,,,6,diagin100e200_vits_none
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw,100ep]",imagenet100,vit_small,variant,9.58,14.01,,21.44,,26.13,,,53.55,,78.39,2.31,7.59,,14.15,,14.23,,,30.39,,13.00,3,3,,3,,3,,,3,,3,diagin100_vits_aux_1pct diagin100_vits_aux_2pct diagin100_vits_aux_5pct diagin100_vits_aux_10pct diagin100_vits_aux_25pct diagin100_vits_aux
"aux(magnitude@b8,L1.0>0.0,hn) + deit-aug  [adamw]",imagenet100,vit_small,variant,,,,,,,,,,,83.99,,,,,,,,,,,4.52,,,,,,,,,,,6,diagin100e200_vits_aux
BASELINE  [40ep],imagenet64,mobilenetv3_small_100,baseline,4.33,7.61,9.68,12.94,15.29,18.60,22.49,24.61,25.84,,32.93,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,,3,diagin64_mnet_none_1pct diagin64_mnet_none_2pct diagin64_mnet_none_3pct diagin64_mnet_none_5pct diagin64_mnet_none_7pct diagin64_mnet_none_10pct diagin64_mnet_none_15pct diagin64_mnet_none_20pct diagin64_mnet_none_25pct diagin64_mnet_none
"aux(magnitude@b3,L1.0>0.0,hn)  [40ep]",imagenet64,mobilenetv3_small_100,variant,3.82,7.62,10.17,14.39,17.57,21.22,25.24,27.59,29.29,,34.88,-0.52,0.01,0.49,1.46,2.28,2.61,2.75,2.98,3.45,,1.95,3,3,3,3,3,3,3,3,3,,3,diagin64_mnet_aux_1pct diagin64_mnet_aux_2pct diagin64_mnet_aux_3pct diagin64_mnet_aux_5pct diagin64_mnet_aux_7pct diagin64_mnet_aux_10pct diagin64_mnet_aux_15pct diagin64_mnet_aux_20pct diagin64_mnet_aux_25pct diagin64_mnet_aux
